Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
40360423,Figlie del mare,Mary Lynn Bracht,"Bracht, Mary Lynn",Katia Bagnoli,"=""883044765X""","=""9788830447653""",3,4.40,Longanesi,Hardcover,370,2018,2018,2018/08/15,2018/08/14,,,read,,,,2,0
33241739,"The Friendship Code (Girls Who Code, #1)",Stacia Deutsch,"Deutsch, Stacia","Reshma Saujani, Sisi A. Johnson","=""1524777404""","=""9781524777401""",5,4.05,Listening Library,Audio CD,,2017,2017,2018/08/15,2018/08/15,,,read,,,,1,0
17264131,"Neverwas  (Amber House, #2)",Kelly  Moore,"Moore, Kelly","Tucker Reed, Larkin Reed","=""0545434181""","=""9780545434188""",3,3.89,Arthur A. Levine Books / Scholastic Press,Hardcover,320,2014,2014,2018/08/15,2018/08/15,,,read,,,,1,0
13436345,"Amber House (Amber House, #1)",Kelly  Moore,"Moore, Kelly","Tucker Reed, Larkin Reed","=""0545434165""","=""9780545434164""",4,3.90,Arthur A. Levine Books,Hardcover,368,2012,2012,2018/08/15,2018/08/15,,,read,,,,1,0
7544603,"Smaragdgrün (Edelstein-Trilogie, #3)",Kerstin Gier,"Gier, Kerstin",,"=""3401063480""","=""9783401063485""",4,4.20,Arena Verlag,Hardcover,487,2010,2010,2018/08/15,2018/08/15,,,read,,,,1,0
6919272,"Saphirblau (Edelstein-Trilogie, #2)",Kerstin Gier,"Gier, Kerstin",,"=""""","=""""",4,4.18,Arena,Hardcover,400,2010,2010,2018/08/15,2018/08/15,,,read,,,,1,0
6325285,"Rubinrot (Edelstein-Trilogie, #1)",Kerstin Gier,"Gier, Kerstin",,"=""3401063340""","=""9783401063348""",4,4.12,Arena Verlag,Hardcover,345,2009,2009,2018/08/15,2018/08/15,,,read,,,,1,0
35063227,Questo canto selvaggio (I Mostri di Verity #1),Victoria Schwab,"Schwab, Victoria",Roberto Serrai,"=""880984713X""","=""9788809847132""",3,4.04,Giunti,Hardcover,400,2017,2016,2018/08/15,2018/08/15,,,read,,,,1,0
19287345,La paura in Giappone. Yokai e altri mostri giapponesi,Marta Berzieri,"Berzieri, Marta",,"=""""","=""""",5,3.86,Caravaggio Editore,Kindle Edition,185,2012,2008,2018/08/15,2018/08/14,,,read,,,,2,0
10165178,La lega degli uomini spaventati,Rex Stout,"Stout, Rex",Alfredo Pitta,"=""8804512857""","=""9788804512851""",2,4.08,Arnoldo Mondadori,Paperback,191,2004,1935,2018/08/15,2018/08/15,,,read,,,,1,0
27408440,L'ottava moglie di mister G,Elizabeth Ferrars,"Ferrars, Elizabeth",Lina Rolli,"=""""","=""""",2,3.14,Mondadori,Paperback,170,1973,1991,2018/08/15,2018/08/15,,,read,,,,1,0
16343,"The Mysterious Affair at Styles (Hercule Poirot, #1)",Agatha Christie,"Christie, Agatha",,"=""0646418432""","=""9780646418438""",5,4.00,Deodand,Paperback,121,2002,1920,2018/08/15,2018/08/15,,,read,,,,1,0
25140407,Un lungo fatale ultimo addio,Raffaella V. Poggi,"Poggi, Raffaella V.",VeloNero,"=""""","=""""",3,3.68,Newton Compton Editori ,Kindle Edition,288,2015,2014,2018/08/15,2018/08/15,,,read,,,,1,0
34325989,Lonely Planet's Best in Travel 2018,Lonely Planet,"Planet, Lonely",,"=""1786579707""","=""9781786579706""",4,3.80,Lonely Planet,Hardcover,216,2017,,2018/08/15,2018/08/15,,,read,,,,1,0
22544764,Uprooted,Naomi Novik,"Novik, Naomi",,"=""0804179034""","=""9780804179034""",4,4.04,Del Rey,Hardcover,438,2015,2015,2018/08/15,2018/08/14,,,read,,,,2,0
35491039,"La scienza delle donne - Ricerca, teoremi e algoritmi al femminile",Maria Rosa Panté,"Panté, Maria Rosa",,"=""""","=""9788820378257""",4,3.29,Hoepli,Paperback,142,2017,,2018/08/15,2018/08/15,,,read,,,,2,0
25538992,Una spola di filo blu,Anne Tyler,"Tyler, Anne",Laura Pignatti,"=""8823510996""","=""9788823510999""",3,3.43,Guanda,Paperback,400,2015,2015,2018/08/15,2018/08/15,,,read,,,,2,0
